t,x,y,theta,mass,M_rw_J,m_dot
0.0,0.0,0.0,1.5707963268,100.0,0.0,0.08834522596
0.09875,-1.0427594537e-05,0.0023698504426,1.5732334996172,99.991275909,-0.99970555111,0.08834522596
0.1975,-6.574970575e-05,0.0094807526083,1.5683588839479,99.982551817,-0.99959479212,0.08834522596
0.29625,-4.0952852692e-05,0.021333814062,1.5503468204741,99.973827725,0.39077391358,0.08834522596
0.395,0.00040866360867,0.037926288915,1.5327558220719,99.965103633,0.3907838699,0.08834522596
0.49375,0.0016382310565,0.059249901318,1.5189755603959998,99.956379541,0.3907807071,0.08834522596
0.5925,0.0039299137002,0.085294130469,1.5090060738239999,99.947655449,0.39076228828,0.08834522596
0.69125,0.0074879100195,0.11604947541,1.502847418561,99.938931357,0.39066242603,0.08834522596
0.79,0.01243230992,0.15151022321,1.501429906159,99.930207266,0.0086393963171,0.08834522596
0.88875,0.018798056158,0.19167565647,1.501028182952,99.921483174,0.0085527608879,0.08834522596
0.9875,0.026595217418,0.23654680413,1.5007101378199998,99.912759082,0.0085264563013,0.08834522596
1.0862500000000002,0.035830759919,0.28612493377,1.5004753273,99.90403499,0.0085165225313,0.08834522596
1.185,0.04650984746,0.34041144931,1.50032360017,99.895310898,0.0085125298602,0.08834522596
1.28375,0.058635877938,0.39940788638,1.50025489487,99.886586806,0.0085118392963,0.08834522596
1.3825,0.072210504807,0.46311590946,1.50026919031,99.877862714,0.0085137661798,0.08834522596
1.4812500000000002,0.087233650123,0.53153730976,1.5003664919,99.869138623,0.0085185818236,0.08834522596
1.58,0.1037035125,0.60467400347,1.5005468292,99.860414531,0.0085276039236,0.08834522596
1.67875,0.12161657179,0.68252803019,1.5008102613099998,99.851690439,0.0085442736704,0.08834522596
1.7775,0.14096759133,0.76510155132,1.50115689046,99.842966347,0.0085780491378,0.08834522596
1.8762500000000002,0.16174961857,0.85239684819,1.5015868731400002,99.834242256,0.0086656051025,0.08834522596
1.975,0.18395405563,0.94441631494,1.50208953456,99.825518164,0.013428373798,0.08834522596
2.07375,0.20757067266,1.041162457,1.50271056683,99.816794073,0.013824456806,0.08834522596
2.1725000000000003,0.23258683979,1.1426379389,1.5034653099400002,99.808069982,0.013879262805,0.088345222598
2.27125,0.2589871948,1.248845602,1.50435520081,99.799345891,0.013905184983,0.088345209366
2.37,0.28676183191,1.3599015337,1.50538058915,99.790621802,0.013920144063,0.086395386572
2.46875,0.31617376001,1.4803740104,1.50654166083,99.782090257,0.013929793525,1.8794981921e-08
2.5675,0.34591775166,1.5900693053,1.50783852943,99.782090255,0.013936616439,3.7636951505e-09
2.6662500000000002,0.37562876984,1.6839714396,1.50927127274,99.782090255,0.01394177345,0.0
2.765,0.40528732197,1.7620838909,1.51083994772,99.782090255,0.013945801627,0.0
2.86375,0.43485868776,1.8244133724,1.5125445983599999,99.782090255,0.0139490144,0.0
2.9625000000000004,0.46428465882,1.8709701065,1.51438525951,99.782090256,0.013951610909,0.0
3.0612500000000002,0.49351226413,1.9017390887,1.51636195921,99.782090256,0.013953725988,0.0
3.16,0.52270386357,1.9164917405,1.51847472014,99.782090257,0.013955455611,0.0
3.25875,0.55207151331,1.9150821729,1.52072356098,99.782090258,0.013956870928,0.0
3.3575,0.58161507093,1.8979083247,1.5231084967600002,99.782090258,0.013958026511,0.0
3.4562500000000003,0.61128784384,1.8649887708,1.5256295400400002,99.782090259,0.013958965444,0.0
3.555,0.6410359483,1.8162936781,1.5282867009,99.78209026,0.013959722591,0.0
3.65375,0.67083003518,1.7518114283,1.5310799876,99.782090261,0.013960326776,0.0
3.7525000000000004,0.70065373511,1.6715371117,1.5340094066000003,99.782090261,0.013960802265,0.0
3.8512500000000003,0.73049735111,1.5754683712,1.5370749631,99.782090262,0.013961169799,0.0
3.95,0.76035487218,1.4636039756,1.5402766613999999,99.782090263,0.013961447344,0.0
4.04875,0.79022242303,1.335943239,1.5436145044,99.782090264,0.013961650618,0.0
4.1475,0.82009741553,1.1924857585,1.5470884945,99.782090265,0.013961793492,0.0
4.24625,0.84997806583,1.033231286,1.5506986333000001,99.782090265,0.013961888289,0.0
4.345000000000001,0.8798631096,0.85817966289,1.554444922,99.782090266,0.013961946005,0.0
4.4437500000000005,0.90975162836,0.66733078422,1.5583273611,99.782090267,0.013961976493,0.0
4.5425,0.93964294019,0.46068457839,1.5623459513000002,99.782090268,0.013961988596,0.0
4.64125,0.96953652894,0.23824099534,1.5665006927,99.782090269,0.013961990266,0.0
4.74,0.99943199728,0.0,1.5707915852999998,99.78209027,0.013961988658,4.4377548064e-08
