t,x,y,theta,mass,M_rw_J,m_dot
0.0,0.0,0.0,1.5707963268,100.0,0.0,0.08834522596
0.10063829787234044,-1.1251633468e-05,0.0024613538013,1.5733283361742,99.991109087,-0.99999707874,0.08834522596
0.20127659574468088,-7.0947306597e-05,0.0098468451778,1.5682642984639,99.982218173,-0.99998956867,0.08834522596
0.3019148936170213,-6.528083706e-05,0.022157874951,1.5527129735972,99.973327259,-0.85808419567,0.08834522596
0.40255319148936175,0.00036063303926,0.039391003667,1.5242864759647001,99.964436345,0.65262134053,0.08834522596
0.5031914893617022,0.0017840208817,0.061528814492,1.498644620324,99.955545431,0.6526288365,0.08834522596
0.6038297872340426,0.0047434155876,0.08854213181,1.479612634577,99.946654517,0.65262083338,0.08834522596
0.704468085106383,0.0096424886137,0.12040077818,1.4671905632020001,99.937763603,0.65257874226,0.08834522596
0.8051063829787235,0.016737497525,0.15708250902,1.462422160037,99.928872689,0.24018002444,0.08834522596
0.905744680851064,0.026132273223,0.19857828658,1.46172268064,99.919981775,0.0063095739273,0.08834522596
1.0063829787234044,0.037847487495,0.24488753347,1.46167941585,99.911090861,0.0062515234377,0.08834522596
1.1070212765957448,0.051885689065,0.29601174276,1.46169965882,99.902199947,0.0062338258963,0.08834522596
1.2076595744680851,0.068247083845,0.35195270582,1.4617831009,99.893309033,0.0062268050654,0.08834522596
1.3082978723404257,0.086930414573,0.41271239815,1.46192963132,99.884418119,0.0062248000045,0.08834522596
1.408936170212766,0.1079330027,0.47829296803,1.46213920819,99.875527205,0.0062263054268,0.08834522596
1.5095744680851066,0.13125077415,0.54869672847,1.46241182896,99.866636291,0.0062313481319,0.08834522596
1.610212765957447,0.15687827546,0.62392615138,1.46274752343,99.857745378,0.0062412493669,0.08834522596
1.7108510638297874,0.18480868383,0.70398386303,1.46314635801,99.848854464,0.0062596680749,0.08834522596
1.811489361702128,0.21503381284,0.78887264036,1.46360845086,99.83996355,0.0062965349787,0.08834522596
1.9121276595744683,0.24754411516,0.87859540784,1.46413400933,99.831072637,0.0063805862277,0.08834522596
2.012765957446809,0.2823289685,0.97315520307,1.46468073651,99.822181723,0.023458441925,0.08834522596
2.113404255319149,0.3193767585,1.0725551757,1.46542023757,99.81329081,0.024079854962,0.088345225097
2.2140425531914896,0.35867192489,1.1767988864,1.46640178786,99.804399897,0.024182421736,0.088345219694
2.31468085106383,0.40019381769,1.2858904185,1.46762790251,99.795508984,0.024220754459,0.0883452024
2.4153191489361703,0.44417319436,1.40222293,1.4690991794100001,99.786618073,0.024240575471,0.048514790496
2.515957446808511,0.48975408102,1.5191655823,1.47081588522,99.781735627,0.024252862177,2.4682726444e-08
2.6165957446808514,0.53563580127,1.622618188,1.47277817277,99.781735625,0.024261447385,6.5759272396e-09
2.717234042553192,0.58147149234,1.7096717056,1.4749861438299998,99.781735624,0.024267883344,1.0471762936e-09
2.817872340425532,0.6272429691,1.7803295374,1.47743987271,99.781735624,0.024272879674,0.0
2.9185106382978727,0.67293163996,1.8345913636,1.4801394162400001,99.781735624,0.024276842622,0.0
3.0191489361702133,0.71853943413,1.8724334724,1.4830848191700001,99.781735625,0.024280027493,0.0
3.1197872340425534,0.76412420318,1.8937673579,1.48627611721,99.781735625,0.024282606084,0.0
3.220425531914894,0.80975570699,1.8985047631,1.489713339376,99.781735626,0.024284700291,0.0
3.3210638297872346,0.85545258325,1.8867387108,1.4933965089,99.781735626,0.024286400381,0.0
3.4217021276595747,0.90122783568,1.8585697374,1.497325645,99.781735627,0.024287775618,0.0
3.5223404255319153,0.94707333208,1.8140141967,1.5015007630600001,99.781735627,0.024288880769,0.0
3.622978723404256,0.99297161352,1.7530664599,1.50592187545,99.781735628,0.024289760263,0.0
3.723617021276596,1.038907831,1.6757209137,1.5105889922,99.781735629,0.024290450935,0.0
3.8242553191489366,1.0848713203,1.5819739685,1.5155021211,99.78173563,0.024290983894,0.0
3.924893617021277,1.130854693,1.4718234524,1.5206612684999998,99.78173563,0.024291385818,0.0
4.025531914893618,1.1768528314,1.3452680423,1.5260664387999998,99.781735631,0.024291679879,0.0
4.126170212765958,1.2228621468,1.2023069134,1.5317176356000002,99.781735632,0.024291886403,0.0
4.226808510638298,1.2688800799,1.0429395378,1.5376148613999998,99.781735633,0.024292023363,0.0
4.327446808510639,1.3149047719,0.86716556818,1.5437581179,99.781735634,0.024292106741,0.0
4.428085106382979,1.3609348484,0.67498476982,1.5501474061000002,99.781735634,0.024292150811,0.0
4.528723404255319,1.4069692752,0.46639698047,1.5567827266999998,99.781735635,0.024292168356,0.0
4.62936170212766,1.453007262,0.24140208537,1.56366408,99.781735636,0.024292170842,0.0
4.73,1.4990481957,0.0,1.5707914659999997,99.781735637,0.024292168563,5.6094380882e-08
